Location_N,CO_emissions_onroad,dev_1975_1990,dev_1990_2000,dev_2000_2014,dev_pre_1975,devAge,imperv_ground,traffic,,sqrt_traffic,Location_N,
KICLDRS8D_OUT,360.4497986,0.530882796,0,0,0.15848147,2.226574268,0.218137993,144.4218138,,12.01756272,KICLDRS8D_OUT,KIC_LDR
KICHDRS8D_OUT,968.317915,0.013784558,0,0,0.86285139,3.492759234,0.148687369,16.56222412,,4.069671255,KICHDRS8D_OUT,KIC_HDR
SEAI1S8D_OUT,6475.338607,0.084118724,0.002476747,0.005874567,0.493017606,2.235254657,0.271974326,1737.651566,,41.68514803,SEAI1S8D_OUT,SEA_IND
PIEHIRES_OUT,327.6552005,0.114988123,0.182302704,0.055812375,0.067491799,1.035349348,0.107609065,23.94068474,,4.892921902,PIEHIRES_OUT,
PIELORES_OUT,151.9561516,0.008727466,0.017235301,0.009848743,0.002121179,0.078986459,0.044030355,17.37730396,,4.168609356,PIELORES_OUT,
SNO_COM,1690.53669,0.801738678,0.021322176,0,0.154758875,3.066895886,0.363660573,1253.554116,,35.40556617,SNO_COM,SNO_COM
SNO_LDR,304.1671188,0.232195242,0.088894367,0.036566827,0.101779038,1.318057439,0.159423148,33.75442705,,5.809856027,SNO_LDR,SNO_LDR
SEAC1S8D_OUT,7912.249088,0.037432929,0,0,0.946632432,3.898828515,0.403348579,1958.405932,,44.25388042,SEAC1S8D_OUT,
POSOUTFALL_60,338.4955299,0.017367273,0,0,0.982632727,3.982632727,0.878341818,0,,0,POSOUTFALL_60,
SEAR1S8D_OUT,1991.441281,0.002754233,0,0,0.997245767,3.997245767,0.237105026,646.7122033,,25.43053683,SEAR1S8D_OUT,
POT564S8D_OUT,173.9917324,0.087668254,0.003904874,0.003986545,0.7410022,3.238809855,0.769081563,6.136170365,,2.477129461,POT564S8D_OUT,
PIECOMM_OUT,3182.760365,0.41396423,0,0,0.58603577,3.58603577,0.447916667,202.8140232,,14.24127885,PIECOMM_OUT,
SNO_HDR,954.5327759,0.932100898,0,0,0,2.796302694,0.236351071,129.0398814,,11.35957224,SNO_HDR,
KICCOMS8D_OUT,987.453248,0,0,0,0.980605439,3.922421756,0.632939969,1085.144279,,32.94152818,KICCOMS8D_OUT,
TAC001S8D_OF235,2483.230502,0.066220007,0,0,0.92106984,3.882939381,0.505626128,1755.532429,,41.89907432,TAC001S8D_OF235,
TAC003S8D_OF245,2751.291248,0.032320493,0,0,0.967679507,3.967679507,0.687842862,36.99910094,,6.082688628,TAC003S8D_OF245,
TFWFD1,2355.745528,0.012459862,0.009398056,0.009568703,0.860458357,3.507577829,0.28105242,1468.258621,,38.31786295,TFWFD1,
,,,,,,,,,,,,
mean,1965.27134,0.199336692,0.019149072,0.007156339,0.577874317,2.954961829,0.376066408,618.6061633,,19.12075808,,
standard deviation,2214.097032,0.293551857,0.047278565,0.01545253,0.403891698,1.189835373,0.244612467,743.157279,,16.39559231,,